No.,Description,Quantity, Unit Price ,Item Category Code,Product Model
DSKIT-X1500C3,DAYLIFF SUNFLO MAX HEAD PAYGO PUMPING SYSTEM ,4,329500,DAYLIFF,SOLAR PUMP
ESD300,ULTRASUN UFX300D FLATPLATE SOLAR HOT WATER SYSTEM,7,322000,BURAL,SHW
DSKIT10,DAYLIFF SUNFLO-B 1000C2 SOLAR PUMPING SYSTEM,2,322000,DAYLIFF,SOLAR PUMP
HPW150,DAYLIFF HPW150 2.5kW 1PH ALL-IN-ONE HEAT PUMP,26,313000,SUNRAIN,HEATING
RSI 3000,GRUNDFOS RSI 3000 3KW SOLAR INVERTER,3,313000,GRUNDFOS,SOLAR SP
DSKIT-X1500C8,DAYLIFF SUNFLO MAX FLOW PAYGO PUMPING SYSTEM ,5,311400,DAYLIFF,SOLAR PUMP
CPLI-48100AH,DAYLIFF 100AH LiFePO4 LITHIUM ION BATTERY C/W BMS,6,310000,CHAMPION,BATTERY
ESI200,ULTRASUN UFX200I FLATPLATE SOLAR HOT WATER SYSTEM,22,308000,BURAL,SHW
SUN2000-020KTL-M2,HUAWEI SUN2000 20KTL-M2 20KW 3PH SOLAR INVERTER,0,303000,HUAWEI,INVERTER
SUN2000-020KTL-M5,HUAWEI SUN2000 20KTL-M5 20KW 3PH SOLAR INVERTER,11,303000,HUAWEI,INVERTER
SUNTOWER 2.4M/1,DAYLIFF GALV. SUNTOWER 2.4M C/W 6000L PLASTIC TANK,0,302000,FAB,SUPPORT ST
DLIP-10048,DAYLIFF DLIP 100AH 48V LITHIUM ION BATTERY,53,300000,DAYLIFF,BATTERY
30KTL3-X,DAYLIFF GROWATT 30KW 3PH GRID-TIE INVERTER,3,298000,DAYLIFF,GROWATT
SV3/15T,DAYLIFF SV3 15KW 3PH SUNVERTER,21,298000,DAYLIFF,SUNVERTER
DSKIT-X1100C,DAYLIFF SUNFLO MEGA PAYGO PUMPING SYSTEM ,3,290400,DAYLIFF,SOLAR PUMP
ESD200,ULTRASUN UFX200D FLATPLATE SOLAR HOT WATER SYSTEM,6,282000,BURAL,SHW
